text,category
"Target Desk Organizer Wire Mesh Five Star 3 Subject Notebook ₹23278,000",Office Supplies & Equipment
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Retail Space Lease Payment Commercial Real Estate Rent Invoice Order #88310",Real Estate & Rent
"AT&T Digital Landline Phone Service Account Business Unlimited Mobile Wireless Line #INV-59637",Utilities & Bills
"Wall Street Journal WSJ Print Weekend Newspaper Delivery Subscription Digital News Unlimited Access Store #48459",Education & Subscriptions
"T-Mobile Business Unlimited 5G Smartphone Lines SyncUP Fleet Vehicle Tracking Device Receipt #22793",Utilities & Bills
"JPMorgan Chase Bank Commercial Overdraft Protection Charge Receipt #9397",Insurance & Financial Fees
"Whole Foods Market Fresh Organic Bananas Bunch Wild Caught Salmon Fillet Extra Virgin Olive Oil Bottle Total: $32738.00",Groceries & Supermarkets
"CenturyLink Lumen Dedicated Fiber Internet Line Total: $89788.00",Telecommunications & Internet
"Udemy Online Video Course Purchase Python Data Science Masterclass Txn ID: 25798",Education & Subscriptions
"AMC Theatres Large Popcorn Soda Combo Meal Dolby Cinema Recliner Seat IMAX Cinema Ticket Pass Total: $50046.00",Entertainment & Events
"Geico Insurance Comprehensive Collision Coverage ₹78574,000",Insurance & Financial Fees
"Lincoln Property Co Building Maintenance Fee Tenant Utility Submeter Charge Residential Suite Lease Payment Order #96717",Real Estate & Rent
"Safeway Supermarket Fresh Strawberries 1lb Package Sparkling Water 12 Pack Cans Order #80754",Groceries & Supermarkets
"JPMorgan Chase Bank Monthly Checking Account Service Fee Ref#22027",Insurance & Financial Fees
"HubSpot Marketing Hub Professional Tier Sales CRM Enterprise Subscription CMS Hub Web Hosting Tools Order #14923",Marketing & Advertising
"Hulu Live TV Bundle Disney+ ESPN+ Total: $46127.00",Entertainment & Events
"Figma Professional Team Seat License Organization Design System Ref#7790",Software & Cloud Services
"CVS Pharmacy Prescription Medication Rx Refill Digital Oral Thermometer Fever Reader Adhesive Bandages 100 Pack ₹50588,000",Healthcare & Pharmacy
"JPMorgan Chase Bank Wire Transfer International Fee #INV-41058",Insurance & Financial Fees
"Shell Gas Station Convenience Store Snacks Gasoline Pump Fill Ref#20383",Travel & Transport
"Buffalo Wild Wings Traditional Wings Medium Ultimate Nachos Qty: 73528",Food & Dining
"Quest Diagnostics Lipid Panel Cholesterol Screening Total: $98119.00",Healthcare & Pharmacy
"EY Ernst & Young Enterprise Risk Management Consulting #INV-11732",Professional & Legal Services
"Labcorp Hemoglobin A1c Diabetes Blood Test Order #59418",Healthcare & Pharmacy
"Mailchimp Standard Email Marketing Plan Transactional Email API Credits Qty: 35153",Marketing & Advertising
"Whole Foods Market Extra Virgin Olive Oil Bottle ₹30250,000",Groceries & Supermarkets
"United Airlines Checked Bag Allowance United Club Pass Nonstop Flight Ticket Total: $10668.00",Travel & Transport
"Verizon Fios Fios TV Ultimate HD Channel Package 1000Mbps Fiber Internet Service Receipt #22718",Telecommunications & Internet
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Retail Space Lease Payment Total: $4999.00",Real Estate & Rent
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Building Operating Expenses Adjustment Retail Space Lease Payment Order #43366",Real Estate & Rent
"Kaiser Permanente Diagnostic Ultrasound Scan Examination Prescription Copayment Specialty Meds Ref#87158",Healthcare & Pharmacy
"Uline Bubble Wrap Cushioning Roll 100ft ₹26697,000",Office Supplies & Equipment
"Comcast Business Business Internet 1 Gig Line Store #17454",Telecommunications & Internet
"PG&E Pacific Gas Electric Clean Energy Solar Power Assessment Natural Gas Heating Distribution Meter Monthly Commercial Gas Electric Bill ₹70052,000",Utilities & Bills
"Twitter X Ads Trend Takeover Advertising Promoted Posts Engagement Campaign Receipt #24772",Marketing & Advertising
"Wall Street Journal WSJ Digital News Unlimited Access Print Weekend Newspaper Delivery Subscription Txn ID: 31365",Education & Subscriptions
"Jiffy Lube Windshield Wiper Blade Pair Install #INV-92667",Maintenance & Repairs
"Spotify Duo Subscription Student Discount Family Plan Music Streaming Receipt #92230",Entertainment & Events
"AMC Theatres Movie Ticket Adult Evening Total: $50531.00",Entertainment & Events
"Udemy AWS Solutions Architect Certification Course Online Video Course Purchase Total: $5098.00",Education & Subscriptions
"Bank of America International Transaction Fee Ref#35231",Insurance & Financial Fees
"Google Workspace Enterprise Workspace Seats Google Drive Additional Capacity Txn ID: 4122",Software & Cloud Services
"Trader Joes Organic Baby Spinach Salad Cold Brew Coffee Concentrate Mandarin Orange Chicken Frozen Ref#28575",Groceries & Supermarkets
"Ticketmaster VIP Reserved Ticket Seat Facility Service Processing Fee Qty: 29403",Entertainment & Events
"Eventbrite Professional Workshop Conference Pass Seminar Registration Fee Total: $13609.00",Entertainment & Events
"United Airlines Nonstop Flight Ticket Checked Bag Allowance Economy Plus Legroom Qty: 22902",Travel & Transport
"Hulu No Ads Streaming Subscription Live TV Bundle Disney+ ESPN+ Ref#4607",Entertainment & Events
"National Grid Pipeline Safety Inspection Assessment Natural Gas Delivery Service Monthly Bill Store #89123",Utilities & Bills
"Datadog Infrastructure Metrics Monitoring Store #42598",Software & Cloud Services
"Disney+ Trio Premium Bundle Plan ₹74957,000",Entertainment & Events
"Pep Boys Tire Rotation Wheel Alignment Service Order #44903",Maintenance & Repairs
"Costco Wholesale Rotisserie Chicken Whole Purified Drinking Water 40 Bottle Case Kirkland Signature Paper Towels 12 Roll Txn ID: 36579",Groceries & Supermarkets
"Consolidated Water Sewer Service Treatment Discharge Commercial Fresh Water Supply Consumption Ref#4988",Utilities & Bills
"United Airlines Checked Bag Allowance Receipt #20410",Travel & Transport
"Hertz Weekly Economy Car Lease Total: $49990.00",Travel & Transport
"Mayo Clinic Specialist Consultation Outpatient Visit MRI Diagnostic Brain Imaging Scan Ref#85296",Healthcare & Pharmacy
"Comcast Xfinity Business Broadband Internet 500Mbps Xfinity TV Station Public Cable Voice Edge VoIP Business Phone Service Txn ID: 7379",Utilities & Bills
"Walmart Dry Erase Markers Assorted Ref#7515",Office Supplies & Equipment
"Kroger Supermarket Organic Greek Yogurt Vanilla Order #71747",Groceries & Supermarkets
"Google Ads Search Network Campaign Clicks Display Network Banner Advertising Performance Max Campaign Ad Spend Qty: 22439",Marketing & Advertising
"Datadog Synthetic Test Automation APM Tracing Log Management Txn ID: 69148",Software & Cloud Services
